,,,,,,,,,,,,,,,,,,Offense Four Factors,,,,,Defense Four Factors,,,,,,,
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
10,Golden State Warriors*,28.6,48,34,49,33,3.3,0.25,3.56,115,111.7,3.3,98.7,0.244,0.469,0.568,,0.536,12.3,27.3,0.187,,0.541,14.1,75.6,0.189,,Chase Center,"740,624","18,064"
11,Milwaukee Bucks*,29.3,48,34,47,35,2.48,-0.36,2.12,115.9,113.4,2.5,99.3,0.268,0.424,0.598,,0.568,12.2,19.3,0.201,,0.533,11.4,76.2,0.174,,Fiserv Forum,"732,014","17,437"
12,Indiana Pacers*,25.8,50,32,46,36,2.23,-0.55,1.68,116.5,114.3,2.2,99.9,0.241,0.4,0.594,,0.562,11.8,21.3,0.19,,0.546,13.1,74.5,0.19,,Gainbridge Fieldhouse,"685,434","16,737"
13,Detroit Pistons*,25.8,44,38,46,36,1.9,-0.17,1.73,115,113.1,1.9,99.8,0.248,0.394,0.58,,0.547,13,26.2,0.192,,0.539,13.3,76,0.214,,Little Caesars Arena,"781,929","19,071"
14,Los Angeles Lakers*,27.9,50,32,44,38,1.22,0.23,1.45,115.9,114.7,1.2,97.6,0.271,0.425,0.593,,0.557,12.7,23.3,0.213,,0.539,12.2,74.5,0.178,,Crypto.com Arena,"767,626","18,723"
15,Miami Heat*,26.8,37,45,42,40,0.56,-0.45,0.11,113.5,112.9,0.6,96.2,0.232,0.429,0.576,,0.544,12.4,22.3,0.183,,0.543,12.5,75.8,0.157,,Kaseya Center,"808,337","19,716"
16,Sacramento Kings*,27.8,40,42,42,40,0.48,0.11,0.58,116.7,116.2,0.5,98.2,0.235,0.391,0.582,,0.548,11.8,25.4,0.19,,0.557,12.5,76.9,0.2,,Golden 1 Center,"696,409","16,986"
17,Orlando Magic*,24.9,41,41,41,41,-0.12,-0.58,-0.7,109.4,109.6,-0.2,96.1,0.269,0.411,0.55,,0.51,12.9,25.3,0.208,,0.538,15,77,0.22,,Kia Center,"762,121","18,588"
18,Atlanta Hawks*,24.9,40,42,38,44,-1.13,-0.28,-1.41,114.6,115.7,-1.1,102.6,0.252,0.41,0.579,,0.546,13.2,26.3,0.196,,0.56,13.8,76,0.202,,State Farm Arena,"657,613","16,440"
19,Dallas Mavericks*,27.5,39,43,38,44,-1.2,0.46,-0.74,114.8,116,-1.2,99.2,0.263,0.389,0.583,,0.549,12.5,23.3,0.203,,0.54,11.6,73.1,0.179,,American Airlines Center,"783,197","20,079"
20,Chicago Bulls*,25.2,39,43,37,45,-1.56,-0.27,-1.83,114.1,115.6,-1.5,102.8,0.214,0.457,0.585,,0.553,12.7,22.3,0.173,,0.539,10.8,76.6,0.178,,United Center,"825,659","20,138"
21,San Antonio Spurs,26,34,48,34,48,-2.76,0.31,-2.45,114.4,117.2,-2.8,99.3,0.234,0.441,0.575,,0.544,12.3,24.3,0.181,,0.551,12,73,0.158,,Frost Bank Center,"731,474","17,976"
22,Portland Trail Blazers,23.8,36,46,33,49,-2.98,0.31,-2.67,111.7,114.7,-3,98.8,0.246,0.418,0.555,,0.521,13.8,29.2,0.187,,0.543,13.6,72.5,0.204,,Moda Center,"719,369","17,546"
23,Phoenix Suns,29.1,36,46,34,48,-3,0.45,-2.55,116.2,119.3,-3.1,97.1,0.241,0.44,0.595,,0.561,12.8,22.6,0.195,,0.552,10.9,74.1,0.191,,Footprint Center,"699,911","17,071"
24,Toronto Raptors,24.5,30,52,30,52,-4.29,-0.11,-4.4,110.5,114.8,-4.3,99.7,0.232,0.373,0.553,,0.522,13.3,27.3,0.173,,0.541,13.2,73.9,0.222,,Scotiabank Arena,"768,573","18,746"
25,Philadelphia 76ers,27.1,24,58,26,56,-6.23,-0.06,-6.29,111.9,118.2,-6.3,97.4,0.257,0.426,0.563,,0.527,12.3,23.4,0.201,,0.57,14.3,71.8,0.194,,Wells Fargo Center,"813,621","19,844"
26,Brooklyn Nets,24.7,26,56,23,59,-7.11,0.16,-6.95,108.5,115.8,-7.3,96.4,0.24,0.458,0.552,,0.516,13.7,24.5,0.189,,0.557,13.7,75,0.218,,Barclays Center,"713,304","17,398"
27,Utah Jazz,23.9,17,65,20,62,-9.34,0.83,-8.51,111.2,120.4,-9.2,100,0.252,0.449,0.568,,0.533,14.9,26.9,0.195,,0.559,10.3,74.1,0.185,,Delta Center,"745,175","18,175"
28,Charlotte Hornets,25.1,19,63,20,62,-9.11,0.01,-9.1,107.3,116.6,-9.3,97.6,0.222,0.43,0.537,,0.503,13.7,26.5,0.174,,0.547,11.9,74.5,0.19,,Spectrum Center,"703,935","17,169"
29,New Orleans Pelicans,25.9,21,61,20,62,-9.43,0.84,-8.59,110.4,119.9,-9.5,99.1,0.244,0.385,0.552,,0.519,12.8,26.3,0.184,,0.564,12.3,72.7,0.19,,Smoothie King Center,"689,400","16,815"
30,Washington Wizards,23.5,18,64,15,67,-12.44,0.3,-12.14,106.8,119.1,-12.3,100.9,0.229,0.435,0.546,,0.512,13.6,22.7,0.178,,0.548,11.4,71.9,0.202,,Capital One Arena,"663,691","16,084"
,League Average,26.5,,,41,41,0,0,0,114.5,114.5,,98.8,0.243,0.421,0.576,,0.543,12.6,25.2,0.189,,0.543,12.6,74.8,0.189,,,"743,371","18,153"
